bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202011-28368/20.04%20LTS,Lenovo ThinkPad P15v Gen 2 (RTX A2000),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Lenovo 20SNZ5GAUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29300/20.04%20LTS,Lenovo ThinkPad P15s Gen2 (Core i7-1165G7),Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i9-11950H @ 2.60GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A5000 Mobile]  (10de:24b6),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29301/20.04%20LTS,Lenovo ThinkPad P15s Gen2 (Core i7-1165G7),Intel Corp. Ethernet Controller I225-V  (8086:15f3),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA107GLM [RTX A2000 Mobile]  (10de:25b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29299/20.04%20LTS,Lenovo ThinkPad P15v Gen 2 (Quadro T1200),Intel Corp. Ethernet Controller I225-V  (8086:15f3),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A3000 Mobile]  (10de:24b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202011-28367/20.04%20LTS,Lenovo ThinkPad P15V Gen 1,Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Lenovo 20SNZ5GCUS,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU106GLM [Quadro RTX 3000 Mobile / Max-Q]  (10de:1f36),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29319/20.04%20LTS,Lenovo ThinkPad P15V Gen 1,Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. Intel(R) Xeon(R) W-11955M CPU @ 2.60GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A4000 Mobile]  (10de:24b7),Intel Corp. 8086:9a70  (8086:9a70)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N38ET27W (1.08 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202107-29325/20.04%20LTS,Lenovo ThinkPad P15V Gen 1,Intel Corp. Ethernet Connection (14) I219-V  (8086:15fa),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia TU117GLM [T600 Mobile]  (10de:1fba),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Lenovo N38ET23W (1.04 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202107-29284/20.04%20LTS,Lenovo ThinkPad P15s Gen 1,Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA107GLM [RTX A2000 Mobile]  (10de:25b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Lenovo N30ET29W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28249/20.04%20LTS,Lenovo ThinkPad P15s Gen 1,Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i9-10980HK CPU @ 2.40GHz,Lenovo 20SNZ5GMUS,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104GLM [Quadro RTX 4000 Mobile / Max-Q]  (10de:1eb6),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29323/20.04%20LTS,Lenovo ThinkPad P15V Gen 1,Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i5-11500H @ 2.90GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET40T (1.40advance ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202104-28932/20.04%20LTS,Lenovo ThinkPad P15 Gen 2 (RTX 3080),Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET19W (1.08 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202104-28950/20.04%20LTS,Lenovo ThinkPad P15 Gen 2 (RTX A3000),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N30ET27W (1.10 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28338/20.04%20LTS,Lenovo ThinkPad P15 Gen 2 (RTX A3000),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Xeon(R) W-10885M CPU @ 2.40GHz,Lenovo 20SNZ5GNUS,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104GLM [Quadro RTX 5000 Mobile / Max-Q]  (10de:1eb5),Intel Corp. 8086:9bf6  (8086:9bf6)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET22W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28181/20.04%20LTS,Lenovo ThinkPad P15 Gen 2 (RTX A3000),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Lenovo 20TRZ5K1US,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia GP107GLM [Quadro P620]  (10de:1cbd),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N2XET15W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202005-27907/20.04%20LTS,Lenovo ThinkPad P15 Gen 1,Intel Corp. Ethernet Connection (10) I219-V  (8086:0d4f),Intel Corp. Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz,Lenovo 20T4Z5BYUS,"Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),Intel Corp. JHL6240 Thunderbolt 3 USB 3.1 Controller (Low Power) [Alpine Ridge LP 2016]  (8086:15c1)","nVidia GP108GLM [Quadro P520]  (10de:1d34),Intel Corp. Comet Lake UHD Graphics  (8086:9bca)",Intel Corp. Wireless-AC 9462  (8086:02f0)
Lenovo N38ET27W (1.08 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202107-29313/20.04%20LTS,Lenovo ThinkPad P15 Gen 1,Intel Corp. Ethernet Connection (14) I219-V  (8086:15fa),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Lenovo N30ET22W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28186/20.04%20LTS,Lenovo ThinkPad P15 Gen 1,Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Xeon(R) W-10855M CPU @ 2.80GHz,Lenovo 20TRZ5JXUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia GP107GLM [Quadro P620]  (10de:1cbd),Intel Corp. 8086:9bf6  (8086:9bf6)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET22W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28182/20.04%20LTS,Lenovo ThinkPad P15 Gen 2 (RTX 3070),Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Lenovo 20TRZ5JTUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)",Intel Corp. UHD Graphics  (8086:9bc4),Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29324/20.04%20LTS,Lenovo ThinkPad P14s Gen2 (Core i7-1165G7),Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i5-11500H @ 2.90GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29302/20.04%20LTS,Lenovo ThinkPad P14s,Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. Intel(R) Xeon(R) W-11955M CPU @ 2.60GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A5000 Mobile]  (10de:24b6),Intel Corp. 8086:9a70  (8086:9a70)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET36W (1.36 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202105-29102/20.04%20LTS,Lenovo ThinkPad P15 Gen 1,Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29303/20.04%20LTS,Lenovo ThinkPad P15 Gen 1,Intel Corp. Ethernet Controller I225-V  (8086:15f3),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA107GLM [RTX A2000 Mobile]  (10de:25b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202108-29350/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX A2000),Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A3000 Mobile]  (10de:24b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N30ET29W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28280/20.04%20LTS,Lenovo ThinkPad P14s Gen2 (Core i5-1145G7 + Touchscreen),Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i9-10980HK CPU @ 2.40GHz,Lenovo 20STZ5G1US,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104GLM [Quadro RTX 5000 Mobile / Max-Q]  (10de:1eb5),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET29W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28201/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX A5000),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Lenovo 20STZ5FVUS,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU106GLM [Quadro RTX 3000 Mobile / Max-Q]  (10de:1f36),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N30ET29W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28202/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX A5000),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Xeon(R) W-10855M CPU @ 2.80GHz,Lenovo 20STZ5FZUS,"nVidia TU104 USB 3.1 Host Controller  (10de:1ad8),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU104GLM [Quadro RTX 4000 Mobile / Max-Q]  (10de:1eb6),Intel Corp. 8086:9bf6  (8086:9bf6)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N37ET34W (1.15 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29312/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX A4000),Intel Corp. Ethernet Controller I225-LM  (8086:15f2),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f)","nVidia GA104GLM [RTX A4000 Mobile]  (10de:24b7),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET44W (1.44 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202105-29101/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (Quadro T1200),Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Lenovo N30ET29W (1.12 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28200/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (Quadro T1200),Intel Corp. Ethernet Connection (11) I219-V  (8086:0d4d),Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Lenovo 20STZ5FRUS,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Lenovo N34ET44W (1.44 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28882/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (Quadro T1200),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N40ET27W (1.09 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29276/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (Quadro T1200),,Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #1  (8086:9a21)","nVidia GA107GLM [RTX A2000 Mobile]  (10de:25b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N34ET44W (1.44 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28883/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX 3070),Intel Corp. Ethernet Connection (13) I219-LM  (8086:15fb),Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt 4 USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP Thunderbolt 4 NHI #1  (8086:9a1d),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117GLM [Quadro T500 Mobile]  (10de:1fbb),Intel Corp. TigerLake-LP GT2 [Iris Xe Graphics]  (8086:9a49)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N40ET27W (1.09 ),Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202107-29275/20.04%20LTS,Lenovo ThinkPad P1 Gen 4 (RTX 3070),,Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt 4 USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #0  (8086:9a1f),Intel Corp. Tiger Lake-H Thunderbolt 4 NHI #1  (8086:9a21)","nVidia GA104GLM [RTX A3000 Mobile]  (10de:24b8),Intel Corp. TigerLake-H GT1 [UHD Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Lenovo N2XET15W (1.05 ),Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202005-27906/20.04%20LTS,Lenovo ThinkPad L15 Gen2 AMD,Intel Corp. Ethernet Connection (10) I219-LM  (8086:0d4e),Intel Corp. Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,Lenovo 20S4Z5BMUS,"Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),Intel Corp. JHL6240 Thunderbolt 3 USB 3.1 Controller (Low Power) [Alpine Ridge LP 2016]  (8086:15c1)","nVidia GP108GLM [Quadro P520]  (10de:1d34),Intel Corp. UHD Graphics  (8086:9b41)",Intel Corp. Wireless-AC 9462  (8086:02f0)
